"continent","country","countrycode","parent_company","plastic_type","n_pieces"
"Amerika","Argentinien","AR","Nestlé","o",0
"Amerika","Argentinien","AR","Nestlé","pet",6
"Amerika","Argentinien","AR","Nestlé","pp",2
"Amerika","Argentinien","AR","Nestlé","ps",0
"Amerika","Argentinien","AR","Nestlé","pvc",0
"Amerika","Argentinien","AR","Vino Toro","hdpe",0
"Amerika","Argentinien","AR","Vino Toro","ldpe",0
"Amerika","Argentinien","AR","Vino Toro","o",8
"Amerika","Argentinien","AR","Vino Toro","pet",0
"Amerika","Argentinien","AR","Vino Toro","pp",0
"Amerika","Argentinien","AR","Vino Toro","ps",0
"Amerika","Argentinien","AR","Vino Toro","pvc",0
"Amerika","Argentinien","AR","Frutafiel","hdpe",0
"Amerika","Argentinien","AR","Frutafiel","ldpe",0
"Amerika","Argentinien","AR","Frutafiel","o",0
"Amerika","Argentinien","AR","Frutafiel","pet",6
"Amerika","Argentinien","AR","Frutafiel","pp",1
"Amerika","Argentinien","AR","Frutafiel","ps",0
"Amerika","Argentinien","AR","Frutafiel","pvc",0
"Amerika","Argentinien","AR","Unilever","hdpe",1
"Amerika","Argentinien","AR","Unilever","ldpe",0
"Amerika","Argentinien","AR","Unilever","o",3
"Amerika","Argentinien","AR","Unilever","pet",1
"Amerika","Argentinien","AR","Unilever","pp",2
"Amerika","Argentinien","AR","Unilever","ps",0
"Amerika","Argentinien","AR","Unilever","pvc",0
"Amerika","Argentinien","AR","Arcor","hdpe",0
"Amerika","Argentinien","AR","Arcor","ldpe",0
"Amerika","Argentinien","AR","Arcor","o",1
"Amerika","Argentinien","AR","Arcor","pet",0
"Amerika","Argentinien","AR","Arcor","pp",5
"Amerika","Argentinien","AR","Arcor","ps",0
"Amerika","Argentinien","AR","Arcor","pvc",0
"Amerika","Argentinien","AR","SC Johnson","hdpe",1
"Amerika","Argentinien","AR","SC Johnson","ldpe",1
"Amerika","Argentinien","AR","SC Johnson","o",3
"Amerika","Argentinien","AR","SC Johnson","pet",0
"Amerika","Argentinien","AR","SC Johnson","pp",0
"Amerika","Argentinien","AR","SC Johnson","ps",0
"Amerika","Argentinien","AR","SC Johnson","pvc",0
"Amerika","Argentinien","AR","Seven Up","hdpe",0
"Amerika","Argentinien","AR","Seven Up","ldpe",0
"Amerika","Argentinien","AR","Seven Up","o",0
"Amerika","Argentinien","AR","Seven Up","pet",5
"Amerika","Argentinien","AR","Seven Up","pp",0
"Amerika","Argentinien","AR","Seven Up","ps",0
"Amerika","Argentinien","AR","Seven Up","pvc",0
"Amerika","Argentinien","AR","Dea","hdpe",0
"Amerika","Argentinien","AR","Dea","ldpe",0
"Amerika","Argentinien","AR","Dea","o",0
"Amerika","Argentinien","AR","Dea","pet",3
"Amerika","Argentinien","AR","Dea","pp",2
"Amerika","Argentinien","AR","Dea","ps",0
"Amerika","Argentinien","AR","Dea","pvc",0
"Amerika","Argentinien","AR","Sierra De Los Padres","hdpe",0
"Amerika","Argentinien","AR","Sierra De Los Padres","ldpe",0
"Amerika","Argentinien","AR","Sierra De Los Padres","o",0
"Amerika","Argentinien","AR","Sierra De Los Padres","pet",4
"Amerika","Argentinien","AR","Sierra De Los Padres","pp",1
"Amerika","Argentinien","AR","Sierra De Los Padres","ps",0
"Amerika","Argentinien","AR","Sierra De Los Padres","pvc",0
"Amerika","Argentinien","AR","The Clorox Group","hdpe",4
"Amerika","Argentinien","AR","The Clorox Group","ldpe",0
"Amerika","Argentinien","AR","The Clorox Group","o",0
"Amerika","Argentinien","AR","The Clorox Group","pet",0
"Amerika","Argentinien","AR","The Clorox Group","pp",1
"Amerika","Argentinien","AR","The Clorox Group","ps",0
"Amerika","Argentinien","AR","The Clorox Group","pvc",0
"Amerika","Argentinien","AR","Goliat","hdpe",0
"Amerika","Argentinien","AR","Goliat","ldpe",0
"Amerika","Argentinien","AR","Goliat","o",0
"Amerika","Argentinien","AR","Goliat","pet",2
"Amerika","Argentinien","AR","Goliat","pp",2
"Amerika","Argentinien","AR","Goliat","ps",0
"Amerika","Argentinien","AR","Goliat","pvc",0
"Amerika","Argentinien","AR","Pipas","hdpe",0
"Amerika","Argentinien","AR","Pipas","ldpe",0
"Amerika","Argentinien","AR","Pipas","o",0
"Amerika","Argentinien","AR","Pipas","pet",0
"Amerika","Argentinien","AR","Pipas","pp",4
"Amerika","Argentinien","AR","Pipas","ps",0
"Amerika","Argentinien","AR","Pipas","pvc",0
"Amerika","Argentinien","AR","Mondelez International","hdpe",0
"Amerika","Argentinien","AR","Mondelez International","ldpe",0
"Amerika","Argentinien","AR","Mondelez International","o",0
"Amerika","Argentinien","AR","Mondelez International","pet",0
"Amerika","Argentinien","AR","Mondelez International","pp",4
"Amerika","Argentinien","AR","Mondelez International","ps",0
"Amerika","Argentinien","AR","Mondelez International","pvc",0
"Amerika","Argentinien","AR","Dr Pepper Snapple Group","hdpe",0
"Amerika","Argentinien","AR","Dr Pepper Snapple Group","ldpe",0
"Amerika","Argentinien","AR","Dr Pepper Snapple Group","o",1
"Amerika","Argentinien","AR","Dr Pepper Snapple Group","pet",3
"Amerika","Argentinien","AR","Dr Pepper Snapple Group","pp",0
"Amerika","Argentinien","AR","Dr Pepper Snapple Group","ps",0
"Amerika","Argentinien","AR","Dr Pepper Snapple Group","pvc",0
"Amerika","Argentinien","AR","Schneider","hdpe",0
"Amerika","Argentinien","AR","Schneider","ldpe",0
"Amerika","Argentinien","AR","Schneider","o",4
"Amerika","Argentinien","AR","Schneider","pet",0
"Amerika","Argentinien","AR","Schneider","pp",0
"Amerika","Argentinien","AR","Schneider","ps",0
"Amerika","Argentinien","AR","Schneider","pvc",0
"Amerika","Argentinien","AR","Tacconi","hdpe",0
"Amerika","Argentinien","AR","Tacconi","ldpe",0
"Amerika","Argentinien","AR","Tacconi","o",0
"Amerika","Argentinien","AR","Tacconi","pet",4
"Amerika","Argentinien","AR","Tacconi","pp",0
"Amerika","Argentinien","AR","Tacconi","ps",0
"Amerika","Argentinien","AR","Tacconi","pvc",0
"Amerika","Argentinien","AR","Brahma","hdpe",0
"Amerika","Argentinien","AR","Brahma","ldpe",0
"Amerika","Argentinien","AR","Brahma","o",3
"Amerika","Argentinien","AR","Brahma","pet",0
"Amerika","Argentinien","AR","Brahma","pp",0
"Amerika","Argentinien","AR","Brahma","ps",0
"Amerika","Argentinien","AR","Brahma","pvc",0
"Amerika","Argentinien","AR","Baggio Pronto","hdpe",0
"Amerika","Argentinien","AR","Baggio Pronto","ldpe",0
"Amerika","Argentinien","AR","Baggio Pronto","o",3
"Amerika","Argentinien","AR","Baggio Pronto","pet",0
"Amerika","Argentinien","AR","Baggio Pronto","pp",0
"Amerika","Argentinien","AR","Baggio Pronto","ps",0
"Amerika","Argentinien","AR","Baggio Pronto","pvc",0
"Amerika","Argentinien","AR","Fantoche","hdpe",0
"Amerika","Argentinien","AR","Fantoche","ldpe",0
"Amerika","Argentinien","AR","Fantoche","o",0
"Amerika","Argentinien","AR","Fantoche","pet",0
"Amerika","Argentinien","AR","Fantoche","pp",3
"Amerika","Argentinien","AR","Fantoche","ps",0
"Amerika","Argentinien","AR","Fantoche","pvc",0
"Amerika","Argentinien","AR","Fernando","hdpe",0
"Amerika","Argentinien","AR","Fernando","ldpe",0
"Amerika","Argentinien","AR","Fernando","o",0
"Amerika","Argentinien","AR","Fernando","pet",1
"Amerika","Argentinien","AR","Fernando","pp",2
"Amerika","Argentinien","AR","Fernando","ps",0
"Amerika","Argentinien","AR","Fernando","pvc",0
"Amerika","Argentinien","AR","Ferrero Group","hdpe",1
"Amerika","Argentinien","AR","Ferrero Group","ldpe",0
"Amerika","Argentinien","AR","Ferrero Group","o",0
"Amerika","Argentinien","AR","Ferrero Group","pet",0
"Amerika","Argentinien","AR","Ferrero Group","pp",2
"Amerika","Argentinien","AR","Ferrero Group","ps",0
"Amerika","Argentinien","AR","Ferrero Group","pvc",0
"Amerika","Argentinien","AR","Quilmes","hdpe",0
"Amerika","Argentinien","AR","Quilmes","ldpe",0
"Amerika","Argentinien","AR","Quilmes","o",3
"Amerika","Argentinien","AR","Quilmes","pet",0
"Amerika","Argentinien","AR","Quilmes","pp",0
"Amerika","Argentinien","AR","Quilmes","ps",0
"Amerika","Argentinien","AR","Quilmes","pvc",0
"Amerika","Argentinien","AR","Poett","hdpe",0
"Amerika","Argentinien","AR","Poett","ldpe",0
"Amerika","Argentinien","AR","Poett","o",0
"Amerika","Argentinien","AR","Poett","pet",2
"Amerika","Argentinien","AR","Poett","pp",0
"Amerika","Argentinien","AR","Poett","ps",0
"Amerika","Argentinien","AR","Poett","pvc",0
"Amerika","Argentinien","AR","Hacendado","hdpe",0
"Amerika","Argentinien","AR","Hacendado","ldpe",0
"Amerika","Argentinien","AR","Hacendado","o",0
"Amerika","Argentinien","AR","Hacendado","pet",0
"Amerika","Argentinien","AR","Hacendado","pp",2
"Amerika","Argentinien","AR","Hacendado","ps",0
"Amerika","Argentinien","AR","Hacendado","pvc",0
"Amerika","Argentinien","AR","Yamlube","hdpe",2
"Amerika","Argentinien","AR","Yamlube","ldpe",0
"Amerika","Argentinien","AR","Yamlube","o",0
"Amerika","Argentinien","AR","Yamlube","pet",0
"Amerika","Argentinien","AR","Yamlube","pp",0
"Amerika","Argentinien","AR","Yamlube","ps",0
"Amerika","Argentinien","AR","Yamlube","pvc",0
"Amerika","Argentinien","AR","Yamaha Motors Argentina S.A.","hdpe",2
"Amerika","Argentinien","AR","Yamaha Motors Argentina S.A.","ldpe",0
"Amerika","Argentinien","AR","Yamaha Motors Argentina S.A.","o",0
"Amerika","Argentinien","AR","Yamaha Motors Argentina S.A.","pet",0
"Amerika","Argentinien","AR","Yamaha Motors Argentina S.A.","pp",0
"Amerika","Argentinien","AR","Yamaha Motors Argentina S.A.","ps",0
"Amerika","Argentinien","AR","Yamaha Motors Argentina S.A.","pvc",0
"Amerika","Argentinien","AR","Wega (N15)","hdpe",0
"Amerika","Argentinien","AR","Wega (N15)","ldpe",0
"Amerika","Argentinien","AR","Wega (N15)","o",2
"Amerika","Argentinien","AR","Wega (N15)","pet",0
"Amerika","Argentinien","AR","Wega (N15)","pp",0
"Amerika","Argentinien","AR","Wega (N15)","ps",0
"Amerika","Argentinien","AR","Wega (N15)","pvc",0
"Amerika","Argentinien","AR","Valvoline","hdpe",2
"Amerika","Argentinien","AR","Valvoline","ldpe",0
"Amerika","Argentinien","AR","Valvoline","o",0
"Amerika","Argentinien","AR","Valvoline","pet",0
"Amerika","Argentinien","AR","Valvoline","pp",0
"Amerika","Argentinien","AR","Valvoline","ps",0
"Amerika","Argentinien","AR","Valvoline","pvc",0
"Amerika","Argentinien","AR","Grido","hdpe",0
"Amerika","Argentinien","AR","Grido","ldpe",0
"Amerika","Argentinien","AR","Grido","o",1
"Amerika","Argentinien","AR","Grido","pet",0
"Amerika","Argentinien","AR","Grido","pp",1
"Amerika","Argentinien","AR","Grido","ps",0
"Amerika","Argentinien","AR","Grido","pvc",0
"Amerika","Argentinien","AR","La Virginia","hdpe",0
"Amerika","Argentinien","AR","La Virginia","ldpe",0
"Amerika","Argentinien","AR","La Virginia","o",0
"Amerika","Argentinien","AR","La Virginia","pet",0
"Amerika","Argentinien","AR","La Virginia","pp",2
"Amerika","Argentinien","AR","La Virginia","ps",0
"Amerika","Argentinien","AR","La Virginia","pvc",0
