"country","year","parent_company","empty","hdpe","ldpe","o","pet","pp","ps","pvc","grand_total","num_events","volunteers","continent","countrycode"
"Argentinien",2019,"Anheuser-Busch InBev",0,0,0,1,0,1,0,0,2,4,243,"Amerika","AR"
"Argentinien",2019,"Beiersdorf Global AG",0,0,0,1,0,1,0,0,2,4,243,"Amerika","AR"
"Argentinien",2019,"Benjamin",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Revigal",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Rinde Dos",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Rockstar",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Dunox",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"San Cayetano",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Saladix - Arcor",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Recreo",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Savant Pharm",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Bayer",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Seawalk",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Si Diet",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Sidney",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Resero",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Diamante",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Silsur",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Candela",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Omicron",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Cedal",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Paraná Limitada",0,0,1,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Cecchini",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Petronas",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Philip Morris",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Canela Fina",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Polvorita",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Rapifix",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Pop Arcor",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Porta Bialcohol",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Porteñitas",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Prinz",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Buss",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Bubbaloo",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Rafting",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Baggio",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Société Bic",0,0,0,0,0,0,1,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Smart",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Social",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Verizzia",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Vida Baggio",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Villa De Los Arroyos",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Ala",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Villa San Remo",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Villamanaos",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Agua De Las Misiones",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Agua De La Costa",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Wander",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Agua Bes",0,0,0,0,1,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Work",0,0,0,0,0,1,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Adidas",0,0,0,1,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Acivag",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
"Argentinien",2019,"Yogurisimo",0,1,0,0,0,0,0,0,1,4,243,"Amerika","AR"
