"year","parent_company","countrycode","name","value"
2019,"Seven Up","ARG","ldpe",0
2019,"Seven Up","ARG","o",0
2019,"Seven Up","ARG","pet",5
2019,"Seven Up","ARG","pp",0
2019,"Seven Up","ARG","ps",0
2019,"Seven Up","ARG","pvc",0
2019,"Dea","ARG","hdpe",0
2019,"Dea","ARG","ldpe",0
2019,"Dea","ARG","o",0
2019,"Dea","ARG","pet",3
2019,"Dea","ARG","pp",2
2019,"Dea","ARG","ps",0
2019,"Dea","ARG","pvc",0
2019,"Sierra De Los Padres","ARG","hdpe",0
2019,"Sierra De Los Padres","ARG","ldpe",0
2019,"Sierra De Los Padres","ARG","o",0
2019,"Sierra De Los Padres","ARG","pet",4
2019,"Sierra De Los Padres","ARG","pp",1
2019,"Sierra De Los Padres","ARG","ps",0
2019,"Sierra De Los Padres","ARG","pvc",0
2019,"The Clorox Group","ARG","hdpe",4
2019,"The Clorox Group","ARG","ldpe",0
2019,"The Clorox Group","ARG","o",0
2019,"The Clorox Group","ARG","pet",0
2019,"The Clorox Group","ARG","pp",1
2019,"The Clorox Group","ARG","ps",0
2019,"The Clorox Group","ARG","pvc",0
2019,"Goliat","ARG","hdpe",0
2019,"Goliat","ARG","ldpe",0
2019,"Goliat","ARG","o",0
2019,"Goliat","ARG","pet",2
2019,"Goliat","ARG","pp",2
2019,"Goliat","ARG","ps",0
2019,"Goliat","ARG","pvc",0
2019,"Pipas","ARG","hdpe",0
2019,"Pipas","ARG","ldpe",0
2019,"Pipas","ARG","o",0
2019,"Pipas","ARG","pet",0
2019,"Pipas","ARG","pp",4
2019,"Pipas","ARG","ps",0
2019,"Pipas","ARG","pvc",0
2019,"Mondelez International","ARG","hdpe",0
2019,"Mondelez International","ARG","ldpe",0
2019,"Mondelez International","ARG","o",0
2019,"Mondelez International","ARG","pet",0
2019,"Mondelez International","ARG","pp",4
2019,"Mondelez International","ARG","ps",0
2019,"Mondelez International","ARG","pvc",0
2019,"Dr Pepper Snapple Group","ARG","hdpe",0
2019,"Dr Pepper Snapple Group","ARG","ldpe",0
2019,"Dr Pepper Snapple Group","ARG","o",1
2019,"Dr Pepper Snapple Group","ARG","pet",3
2019,"Dr Pepper Snapple Group","ARG","pp",0
2019,"Dr Pepper Snapple Group","ARG","ps",0
2019,"Dr Pepper Snapple Group","ARG","pvc",0
2019,"Schneider","ARG","hdpe",0
2019,"Schneider","ARG","ldpe",0
2019,"Schneider","ARG","o",4
2019,"Schneider","ARG","pet",0
2019,"Schneider","ARG","pp",0
2019,"Schneider","ARG","ps",0
2019,"Schneider","ARG","pvc",0
2019,"Tacconi","ARG","hdpe",0
2019,"Tacconi","ARG","ldpe",0
2019,"Tacconi","ARG","o",0
2019,"Tacconi","ARG","pet",4
2019,"Tacconi","ARG","pp",0
2019,"Tacconi","ARG","ps",0
2019,"Tacconi","ARG","pvc",0
2019,"Brahma","ARG","hdpe",0
2019,"Brahma","ARG","ldpe",0
2019,"Brahma","ARG","o",3
2019,"Brahma","ARG","pet",0
2019,"Brahma","ARG","pp",0
2019,"Brahma","ARG","ps",0
2019,"Brahma","ARG","pvc",0
2019,"Baggio Pronto","ARG","hdpe",0
2019,"Baggio Pronto","ARG","ldpe",0
2019,"Baggio Pronto","ARG","o",3
2019,"Baggio Pronto","ARG","pet",0
2019,"Baggio Pronto","ARG","pp",0
2019,"Baggio Pronto","ARG","ps",0
2019,"Baggio Pronto","ARG","pvc",0
2019,"Fantoche","ARG","hdpe",0
2019,"Fantoche","ARG","ldpe",0
2019,"Fantoche","ARG","o",0
2019,"Fantoche","ARG","pet",0
2019,"Fantoche","ARG","pp",3
2019,"Fantoche","ARG","ps",0
2019,"Fantoche","ARG","pvc",0
2019,"Fernando","ARG","hdpe",0
2019,"Fernando","ARG","ldpe",0
2019,"Fernando","ARG","o",0
2019,"Fernando","ARG","pet",1
2019,"Fernando","ARG","pp",2
2019,"Fernando","ARG","ps",0
2019,"Fernando","ARG","pvc",0
2019,"Ferrero Group","ARG","hdpe",1
2019,"Ferrero Group","ARG","ldpe",0
2019,"Ferrero Group","ARG","o",0
2019,"Ferrero Group","ARG","pet",0
2019,"Ferrero Group","ARG","pp",2
2019,"Ferrero Group","ARG","ps",0
2019,"Ferrero Group","ARG","pvc",0
2019,"Quilmes","ARG","hdpe",0
2019,"Quilmes","ARG","ldpe",0
2019,"Quilmes","ARG","o",3
2019,"Quilmes","ARG","pet",0
2019,"Quilmes","ARG","pp",0
2019,"Quilmes","ARG","ps",0
2019,"Quilmes","ARG","pvc",0
2019,"Poett","ARG","hdpe",0
2019,"Poett","ARG","ldpe",0
2019,"Poett","ARG","o",0
2019,"Poett","ARG","pet",2
2019,"Poett","ARG","pp",0
2019,"Poett","ARG","ps",0
2019,"Poett","ARG","pvc",0
2019,"Hacendado","ARG","hdpe",0
2019,"Hacendado","ARG","ldpe",0
2019,"Hacendado","ARG","o",0
2019,"Hacendado","ARG","pet",0
2019,"Hacendado","ARG","pp",2
2019,"Hacendado","ARG","ps",0
2019,"Hacendado","ARG","pvc",0
2019,"Yamlube","ARG","hdpe",2
2019,"Yamlube","ARG","ldpe",0
2019,"Yamlube","ARG","o",0
2019,"Yamlube","ARG","pet",0
2019,"Yamlube","ARG","pp",0
2019,"Yamlube","ARG","ps",0
2019,"Yamlube","ARG","pvc",0
2019,"Yamaha Motors Argentina S.A.","ARG","hdpe",2
2019,"Yamaha Motors Argentina S.A.","ARG","ldpe",0
2019,"Yamaha Motors Argentina S.A.","ARG","o",0
2019,"Yamaha Motors Argentina S.A.","ARG","pet",0
2019,"Yamaha Motors Argentina S.A.","ARG","pp",0
2019,"Yamaha Motors Argentina S.A.","ARG","ps",0
2019,"Yamaha Motors Argentina S.A.","ARG","pvc",0
2019,"Wega (N15)","ARG","hdpe",0
2019,"Wega (N15)","ARG","ldpe",0
2019,"Wega (N15)","ARG","o",2
2019,"Wega (N15)","ARG","pet",0
2019,"Wega (N15)","ARG","pp",0
2019,"Wega (N15)","ARG","ps",0
2019,"Wega (N15)","ARG","pvc",0
2019,"Valvoline","ARG","hdpe",2
2019,"Valvoline","ARG","ldpe",0
2019,"Valvoline","ARG","o",0
2019,"Valvoline","ARG","pet",0
2019,"Valvoline","ARG","pp",0
2019,"Valvoline","ARG","ps",0
2019,"Valvoline","ARG","pvc",0
2019,"Grido","ARG","hdpe",0
2019,"Grido","ARG","ldpe",0
2019,"Grido","ARG","o",1
2019,"Grido","ARG","pet",0
2019,"Grido","ARG","pp",1
2019,"Grido","ARG","ps",0
2019,"Grido","ARG","pvc",0
2019,"La Virginia","ARG","hdpe",0
2019,"La Virginia","ARG","ldpe",0
2019,"La Virginia","ARG","o",0
2019,"La Virginia","ARG","pet",0
2019,"La Virginia","ARG","pp",2
2019,"La Virginia","ARG","ps",0
2019,"La Virginia","ARG","pvc",0
2019,"Ivess","ARG","hdpe",0
2019,"Ivess","ARG","ldpe",0
2019,"Ivess","ARG","o",1
2019,"Ivess","ARG","pet",0
2019,"Ivess","ARG","pp",1
2019,"Ivess","ARG","ps",0
2019,"Ivess","ARG","pvc",0
2019,"Terrabusi","ARG","hdpe",0
2019,"Terrabusi","ARG","ldpe",0
2019,"Terrabusi","ARG","o",0
2019,"Terrabusi","ARG","pet",0
2019,"Terrabusi","ARG","pp",2
2019,"Terrabusi","ARG","ps",0
2019,"Terrabusi","ARG","pvc",0
2019,"Limpia-Lik","ARG","hdpe",2
2019,"Limpia-Lik","ARG","ldpe",0
2019,"Limpia-Lik","ARG","o",0
2019,"Limpia-Lik","ARG","pet",0
2019,"Limpia-Lik","ARG","pp",0
2019,"Limpia-Lik","ARG","ps",0
2019,"Limpia-Lik","ARG","pvc",0
2019,"Tablada","ARG","hdpe",2
2019,"Tablada","ARG","ldpe",0
2019,"Tablada","ARG","o",0
2019,"Tablada","ARG","pet",0
2019,"Tablada","ARG","pp",0
2019,"Tablada","ARG","ps",0
2019,"Tablada","ARG","pvc",0
2019,"Mars, Incorporated","ARG","hdpe",0
2019,"Mars, Incorporated","ARG","ldpe",0
2019,"Mars, Incorporated","ARG","o",0
2019,"Mars, Incorporated","ARG","pet",1
2019,"Mars, Incorporated","ARG","pp",1
2019,"Mars, Incorporated","ARG","ps",0
2019,"Mars, Incorporated","ARG","pvc",0
2019,"Max Aroma","ARG","hdpe",0
2019,"Max Aroma","ARG","ldpe",0
2019,"Max Aroma","ARG","o",2
2019,"Max Aroma","ARG","pet",0
2019,"Max Aroma","ARG","pp",0
2019,"Max Aroma","ARG","ps",0
2019,"Max Aroma","ARG","pvc",0
2019,"Speed Unlimited","ARG","hdpe",0
2019,"Speed Unlimited","ARG","ldpe",0
2019,"Speed Unlimited","ARG","o",2
2019,"Speed Unlimited","ARG","pet",0
2019,"Speed Unlimited","ARG","pp",0
2019,"Speed Unlimited","ARG","ps",0
2019,"Speed Unlimited","ARG","pvc",0
2019,"P&G","ARG","hdpe",0
2019,"P&G","ARG","ldpe",0
2019,"P&G","ARG","o",1
2019,"P&G","ARG","pet",0
2019,"P&G","ARG","pp",1
2019,"P&G","ARG","ps",0
2019,"P&G","ARG","pvc",0
2019,"Saldan","ARG","hdpe",0
2019,"Saldan","ARG","ldpe",0
2019,"Saldan","ARG","o",0
2019,"Saldan","ARG","pet",0
2019,"Saldan","ARG","pp",2
2019,"Saldan","ARG","ps",0
2019,"Saldan","ARG","pvc",0
2019,"Prunelle","ARG","hdpe",2
2019,"Prunelle","ARG","ldpe",0
2019,"Prunelle","ARG","o",0
2019,"Prunelle","ARG","pet",0
2019,"Prunelle","ARG","pp",0
2019,"Prunelle","ARG","ps",0
2019,"Prunelle","ARG","pvc",0
2019,"9 De Oro","ARG","hdpe",0
2019,"9 De Oro","ARG","ldpe",0
2019,"9 De Oro","ARG","o",0
2019,"9 De Oro","ARG","pet",0
2019,"9 De Oro","ARG","pp",2
2019,"9 De Oro","ARG","ps",0
2019,"9 De Oro","ARG","pvc",0
2019,"Daniel Gotman","ARG","hdpe",1
2019,"Daniel Gotman","ARG","ldpe",0
2019,"Daniel Gotman","ARG","o",1
2019,"Daniel Gotman","ARG","pet",0
2019,"Daniel Gotman","ARG","pp",0
2019,"Daniel Gotman","ARG","ps",0
2019,"Daniel Gotman","ARG","pvc",0
2019,"Bardahl","ARG","hdpe",2
2019,"Bardahl","ARG","ldpe",0
2019,"Bardahl","ARG","o",0
2019,"Bardahl","ARG","pet",0
2019,"Bardahl","ARG","pp",0
2019,"Bardahl","ARG","ps",0
2019,"Bardahl","ARG","pvc",0
2019,"Ayudin","ARG","hdpe",2
2019,"Ayudin","ARG","ldpe",0
2019,"Ayudin","ARG","o",0
2019,"Ayudin","ARG","pet",0
2019,"Ayudin","ARG","pp",0
2019,"Ayudin","ARG","ps",0
2019,"Ayudin","ARG","pvc",0
2019,"Cusenier","ARG","hdpe",0
2019,"Cusenier","ARG","ldpe",0
2019,"Cusenier","ARG","o",0
2019,"Cusenier","ARG","pet",2
2019,"Cusenier","ARG","pp",0
2019,"Cusenier","ARG","ps",0
2019,"Cusenier","ARG","pvc",0
2019,"Dart","ARG","hdpe",0
2019,"Dart","ARG","ldpe",0
2019,"Dart","ARG","o",2
2019,"Dart","ARG","pet",0
2019,"Dart","ARG","pp",0
2019,"Dart","ARG","ps",0
2019,"Dart","ARG","pvc",0
2019,"Anheuser-Busch InBev","ARG","hdpe",0
2019,"Anheuser-Busch InBev","ARG","ldpe",0
2019,"Anheuser-Busch InBev","ARG","o",1
2019,"Anheuser-Busch InBev","ARG","pet",0
2019,"Anheuser-Busch InBev","ARG","pp",1
2019,"Anheuser-Busch InBev","ARG","ps",0
2019,"Anheuser-Busch InBev","ARG","pvc",0
2019,"Beiersdorf Global AG","ARG","hdpe",0
2019,"Beiersdorf Global AG","ARG","ldpe",0
2019,"Beiersdorf Global AG","ARG","o",1
2019,"Beiersdorf Global AG","ARG","pet",0
2019,"Beiersdorf Global AG","ARG","pp",1
2019,"Beiersdorf Global AG","ARG","ps",0
2019,"Beiersdorf Global AG","ARG","pvc",0
2019,"Benjamin","ARG","hdpe",0
2019,"Benjamin","ARG","ldpe",0
2019,"Benjamin","ARG","o",0
2019,"Benjamin","ARG","pet",0
2019,"Benjamin","ARG","pp",1
2019,"Benjamin","ARG","ps",0
2019,"Benjamin","ARG","pvc",0
2019,"Revigal","ARG","hdpe",1
2019,"Revigal","ARG","ldpe",0
2019,"Revigal","ARG","o",0
2019,"Revigal","ARG","pet",0
2019,"Revigal","ARG","pp",0
2019,"Revigal","ARG","ps",0
2019,"Revigal","ARG","pvc",0
2019,"Rinde Dos","ARG","hdpe",0
